Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,27.847500,27.860001,26.837500,27.332500,24.696352,212818400
2015-01-05,27.072500,27.162500,26.352501,26.562500,24.000614,257142000
2015-01-06,26.635000,26.857500,26.157499,26.565001,24.002876,263188400
2015-01-07,26.799999,27.049999,26.674999,26.937500,24.339447,160423600
2015-01-08,27.307501,28.037500,27.174999,27.972500,25.274624,237458000
2015-01-09,28.167500,28.312500,27.552500,28.002501,25.301731,214798000
2015-01-12,28.150000,28.157499,27.200001,27.312500,24.678280,198603200
2015-01-13,27.857500,28.200001,27.227501,27.555000,24.897392,268367600
2015-01-14,27.260000,27.622499,27.125000,27.450001,24.802519,195826400
2015-01-15,27.500000,27.514999,26.665001,26.705000,24.129368,240056000
2015-01-16,26.757500,26.895000,26.299999,26.497499,23.941885,314053200
2015-01-20,26.959999,27.242500,26.625000,27.180000,24.558556,199599600
2015-01-21,27.237499,27.764999,27.067499,27.387501,24.746048,194303600
2015-01-22,27.565001,28.117500,27.430000,28.100000,25.389826,215185600
2015-01-23,28.075001,28.437500,27.882500,28.245001,25.520844,185859200
2015-01-26,28.434999,28.590000,28.200001,28.275000,25.547953,222460000
2015-01-27,28.105000,28.120001,27.257500,27.285000,24.653435,382274800
2015-01-28,29.407499,29.530001,28.827499,28.827499,26.047159,585908400
2015-01-29,29.080000,29.797501,28.889999,29.725000,26.858101,337745600
2015-01-30,29.600000,30.000000,29.212500,29.290001,26.465057,334982000
2015-02-02,29.512501,29.792500,29.020000,29.657499,26.797110,250956400
2015-02-03,29.625000,29.772499,29.402500,29.662500,26.801626,207662800
2015-02-04,29.625000,30.127501,29.577499,29.889999,27.007187,280598800
2015-02-05,30.004999,30.057501,29.812500,29.985001,27.199951,168984800
2015-02-06,30.004999,30.062500,29.612499,29.732500,26.970901,174826400
2015-02-09,29.637501,29.959999,29.607500,29.930000,27.150057,155559200
2015-02-10,30.042500,30.537500,30.040001,30.504999,27.671652,248034000
2015-02-11,30.692499,31.230000,30.625000,31.219999,28.320242,294247200
2015-02-12,31.514999,31.870001,31.392500,31.615000,28.678551,297898000
2015-02-13,31.820000,31.820000,31.412500,31.770000,28.819159,217088800
2015-02-17,31.872499,32.220001,31.730000,31.957500,28.989241,252609600
2015-02-18,31.907499,32.195000,31.862499,32.180000,29.191072,179566800
2015-02-19,32.119999,32.257500,32.082500,32.112499,29.129841,149449600
2015-02-20,32.154999,32.375000,32.012501,32.375000,29.367962,195793600
2015-02-23,32.505001,33.250000,32.415001,33.250000,30.161690,283896400
